iter	Logloss
0	0.6791865932
1	0.6678251953
2	0.6573731864
3	0.6466508092
4	0.6377578125
5	0.6286241629
6	0.62171875
7	0.6123763951
8	0.6045967494
9	0.5977633231
10	0.5919051339
11	0.5850495605
12	0.5787979562
13	0.5723171038
14	0.5671101423
15	0.5615621512
16	0.5560601632
17	0.5520701381
18	0.5463723493
19	0.5420282506
20	0.5371551339
21	0.5324281529
22	0.5278114886
23	0.5234055525
24	0.5199755859
25	0.5141307896
26	0.5093766392
27	0.5056374163
28	0.5014232003
29	0.4984830845
30	0.4952178432
31	0.4904392439
32	0.486440918
33	0.4829012277
34	0.4798917062
35	0.4761838728
36	0.4732565918
37	0.4703254046
38	0.4664072266
39	0.4631311733
40	0.4597694964
41	0.4569550432
42	0.4540147879
43	0.4506349051
44	0.4472400251
45	0.4436699916
46	0.441099435
47	0.4389716099
48	0.4358953683
49	0.4330140206
50	0.4306880929
51	0.4279349191
52	0.4258267997
53	0.4234741211
54	0.4212643345
55	0.418887486
56	0.4164054827
57	0.4142487793
58	0.4114652623
59	0.4084919085
60	0.4052699498
61	0.4034183873
62	0.4011785017
63	0.3987168318
64	0.3965149972
65	0.3948234166
66	0.3920197056
67	0.3896328823
68	0.3867253418
69	0.3839630301
70	0.3816851283
71	0.3797961775
72	0.3771336844
73	0.3751796875
74	0.3726280692
75	0.3707451869
76	0.3680336565
77	0.3659406041
78	0.3631469029
79	0.3607113909
80	0.3581833147
81	0.3561587612
82	0.353605678
83	0.3510633022
84	0.3490132185
85	0.3464038086
86	0.3439852469
87	0.3412257254
88	0.3379856306
89	0.3357976423
90	0.3339724121
91	0.3312792969
92	0.328444022
93	0.3261625628
94	0.3235675223
95	0.3208621303
96	0.3187408273
97	0.3164883161
98	0.3137464425
99	0.3116826172
100	0.309151995
101	0.3073290667
102	0.3041026786
103	0.3014997907
104	0.2991591099
105	0.2966630162
106	0.2941610979
107	0.2915598319
108	0.2893281948
109	0.2871025042
110	0.2849195382
111	0.2824072091
112	0.280236921
113	0.2778422852
114	0.2757364676
115	0.2735256348
116	0.2718437849
117	0.2698966588
118	0.2679034773
119	0.2658538644
120	0.2634666051
121	0.2616339634
122	0.2592907715
123	0.2568371233
124	0.2545412598
125	0.2521066023
126	0.2500329241
127	0.2476795131
128	0.2456959054
129	0.2433512312
130	0.2418305315
131	0.239991612
132	0.2380914481
133	0.2365030343
134	0.2346627023
135	0.232771868
136	0.2307393101
137	0.2293183768
138	0.227731114
139	0.2261926967
140	0.2247374093
141	0.2228023333
142	0.2211928362
143	0.219131243
144	0.2174896938
145	0.2158033098
146	0.214448591
147	0.212675293
148	0.2112878244
149	0.2099269671
150	0.2088566023
151	0.2072156459
152	0.2059804513
153	0.2045672433
154	0.2028974958
155	0.2014125453
156	0.200131121
157	0.1984738246
158	0.1967973982
159	0.1953203648
160	0.1939225028
161	0.1924469169
162	0.1908545445
163	0.1899907924
164	0.1886305455
165	0.187247576
166	0.1859882115
167	0.1844884382
168	0.1831079102
169	0.1818393555
170	0.1803109305
171	0.1789529506
172	0.1780942383
173	0.176677839
174	0.1757089495
175	0.1742060721
176	0.1727067174
177	0.171493757
178	0.1703429478
179	0.1692486049
180	0.167987514
181	0.1666256278
182	0.1653295898
183	0.1641871861
184	0.1630460379
185	0.1620785435
186	0.1607094029
187	0.1594759696
188	0.1583469064
189	0.1570663714
190	0.1562721819
191	0.1551657715
192	0.1543236956
193	0.1529235665
194	0.1521484724
195	0.1510427595
196	0.1499364014
197	0.1490250593
198	0.1481464844
199	0.1468506557
