iter	Passed	Remaining
0	46	9305
1	82	8186
2	120	7945
3	157	7723
4	197	7707
5	236	7632
6	273	7547
7	311	7465
8	347	7375
9	382	7273
10	420	7217
11	458	7182
12	497	7150
13	537	7139
14	574	7089
15	616	7093
16	657	7076
17	696	7037
18	738	7036
19	780	7021
20	825	7034
21	865	7004
22	903	6950
23	941	6901
24	980	6862
25	1017	6812
26	1056	6766
27	1113	6839
28	1152	6796
29	1193	6763
30	1231	6711
31	1268	6659
32	1308	6621
33	1350	6591
34	1389	6551
35	1430	6517
36	1470	6479
37	1511	6442
38	1553	6411
39	1589	6358
40	1631	6326
41	1669	6281
42	1706	6230
43	1747	6194
44	1789	6162
45	1828	6120
46	1866	6077
47	1905	6035
48	1944	5991
49	1980	5942
50	2018	5896
51	2056	5853
52	2095	5813
53	2133	5769
54	2171	5725
55	2211	5686
56	2248	5640
57	2284	5593
58	2322	5550
59	2359	5506
60	2399	5466
61	2435	5421
62	2474	5381
63	2513	5342
64	2553	5303
65	2591	5261
66	2699	5359
67	2737	5313
68	2773	5265
69	2811	5221
70	2849	5176
71	2887	5132
72	2925	5089
73	2962	5044
74	3000	5000
75	3038	4958
76	3076	4914
77	3115	4873
78	3153	4829
79	3189	4784
80	3231	4746
81	3274	4712
82	3313	4670
83	3350	4627
84	3388	4584
85	3427	4543
86	3468	4505
87	3507	4463
88	3544	4421
89	3583	4379
90	3623	4340
91	3662	4299
92	3703	4260
93	3739	4217
94	3777	4175
95	3815	4133
96	3852	4090
97	3890	4049
98	3933	4012
99	3976	3976
100	4025	3945
101	4064	3905
102	4120	3880
103	4166	3845
104	4208	3807
105	4257	3775
106	4299	3736
107	4341	3697
108	4379	3656
109	4418	3615
110	4457	3574
111	4498	3534
112	4538	3493
113	4577	3453
114	4617	3412
115	4654	3370
116	4691	3328
117	4727	3285
118	4764	3242
119	4804	3202
120	4841	3160
121	4879	3119
122	4916	3078
123	4953	3036
124	4990	2994
125	5028	2953
126	5066	2912
127	5105	2871
128	5142	2830
129	5180	2789
130	5216	2747
131	5253	2706
132	5291	2665
133	5328	2624
134	5365	2583
135	5403	2542
136	5442	2502
137	5479	2461
138	5517	2421
139	5555	2380
140	5594	2341
141	5631	2300
142	5670	2260
143	5709	2220
144	5747	2179
145	5784	2139
146	5826	2100
147	5870	2062
148	5919	2026
149	5961	1987
150	5999	1946
151	6035	1905
152	6073	1865
153	6113	1826
154	6150	1785
155	6187	1745
156	6225	1705
157	6261	1664
158	6299	1624
159	6337	1584
160	6375	1544
161	6412	1504
162	6453	1464
163	6496	1426
164	6533	1385
165	6570	1345
166	6612	1306
167	6649	1266
168	6686	1226
169	6724	1186
170	6761	1146
171	6800	1107
172	6837	1067
173	6875	1027
174	6914	987
175	6957	948
176	7000	909
177	7042	870
178	7085	831
179	7128	792
180	7167	752
181	7203	712
182	7240	672
183	7281	633
184	7320	593
185	7358	553
186	7395	514
187	7432	474
188	7471	434
189	7511	395
190	7548	355
191	7588	316
192	7625	276
193	7678	237
194	7714	197
195	7752	158
196	7789	118
197	7827	79
198	7864	39
199	7902	0
